Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Vendor supply payment,477070,Company,194Q,0.1%,477.07,476592.93,Purchase Expense
Property rent paid,367908,Company,194I,10%,36790.8,331117.2,Rent Expense
Agent incentive paid,489226,Contractor,194H,5%,24461.3,464764.7,Commission Expense
Doctor consultation fees paid,36283,Contractor,194J,10%,3628.3,32654.7,Professional Fees
Raw material purchase made,31357,Individual,194Q,0.1%,31.36,31325.64,Purchase Expense
Shop rent transferred,170266,Firm,194I,10%,17026.6,153239.4,Rent Expense
Transport charges paid,308392,Professional,194C,1%,3083.92,305308.08,Contractor Expense
Raw material purchase made,433168,Contractor,194Q,0.1%,433.17,432734.83,Purchase Expense
Shop rent transferred,209304,Contractor,194I,10%,20930.4,188373.6,Rent Expense
Transport charges paid,397382,Company,194C,1%,3973.82,393408.18,Contractor Expense
Contractor payment made,332533,Firm,194C,1%,3325.33,329207.67,Contractor Expense
Office rent paid,145651,Firm,194I,10%,14565.1,131085.9,Rent Expense
Sales commission payment,395462,Firm,194H,5%,19773.1,375688.9,Commission Expense
Warehouse rent paid,158109,Company,194I,10%,15810.9,142298.1,Rent Expense
Contractor payment made,335759,Contractor,194C,1%,3357.59,332401.41,Contractor Expense
Finance charges paid,326585,Company,194A,10%,32658.5,293926.5,Interest Expense
Vendor supply payment,157792,Professional,194Q,0.1%,157.79,157634.21,Purchase Expense
Finance charges paid,467746,Company,194A,10%,46774.6,420971.4,Interest Expense
Finance charges paid,439167,Individual,194A,10%,43916.7,395250.3,Interest Expense
Freight charges paid,265244,Contractor,194C,1%,2652.44,262591.56,Contractor Expense
Freight charges paid,450600,Professional,194C,1%,4506.0,446094.0,Contractor Expense
Warehouse rent paid,367131,Individual,194I,10%,36713.1,330417.9,Rent Expense
CA fees paid,347969,Professional,194J,10%,34796.9,313172.1,Professional Fees
Property rent paid,12751,Company,194I,10%,1275.1,11475.9,Rent Expense
Freight charges paid,474229,Individual,194C,1%,4742.29,469486.71,Contractor Expense
Contractor payment made,162671,Contractor,194C,1%,1626.71,161044.29,Contractor Expense
Agent incentive paid,318931,Professional,194H,5%,15946.55,302984.45,Commission Expense
Referral commission paid,486549,Professional,194H,5%,24327.45,462221.55,Commission Expense
Interest paid on loan,344153,Professional,194A,10%,34415.3,309737.7,Interest Expense
Labour charges paid,203465,Individual,194C,1%,2034.65,201430.35,Contractor Expense
Building lease payment,335824,Professional,194I,10%,33582.4,302241.6,Rent Expense
Agent incentive paid,184728,Contractor,194H,5%,9236.4,175491.6,Commission Expense
Interest paid on loan,211311,Company,194A,10%,21131.1,190179.9,Interest Expense
Legal consultancy fees paid,265493,Professional,194J,10%,26549.3,238943.7,Professional Fees
Office rent paid,403921,Professional,194I,10%,40392.1,363528.9,Rent Expense
Purchase of stock items,414610,Company,194Q,0.1%,414.61,414195.39,Purchase Expense
Legal consultancy fees paid,317902,Contractor,194J,10%,31790.2,286111.8,Professional Fees
Commission paid to agent,249937,Individual,194H,5%,12496.85,237440.15,Commission Expense
Bulk inventory purchase,422707,Individual,194Q,0.1%,422.71,422284.29,Purchase Expense
Labour charges paid,83467,Company,194C,1%,834.67,82632.33,Contractor Expense
Warehouse rent paid,309725,Individual,194I,10%,30972.5,278752.5,Rent Expense
Doctor consultation fees paid,214195,Professional,194J,10%,21419.5,192775.5,Professional Fees
Vendor supply payment,224986,Professional,194Q,0.1%,224.99,224761.01,Purchase Expense
Contractor payment made,52094,Company,194C,1%,520.94,51573.06,Contractor Expense
Vendor supply payment,188264,Firm,194Q,0.1%,188.26,188075.74,Purchase Expense
Bulk inventory purchase,409482,Contractor,194Q,0.1%,409.48,409072.52,Purchase Expense
Doctor consultation fees paid,273253,Firm,194J,10%,27325.3,245927.7,Professional Fees
Goods purchased from vendor,125665,Professional,194Q,0.1%,125.67,125539.33,Purchase Expense
Freight charges paid,462843,Company,194C,1%,4628.43,458214.57,Contractor Expense
Audit fees paid,227532,Individual,194J,10%,22753.2,204778.8,Professional Fees
Contractor payment made,257825,Individual,194C,1%,2578.25,255246.75,Contractor Expense
Property rent paid,272282,Professional,194I,10%,27228.2,245053.8,Rent Expense
Brokerage charges paid,189088,Individual,194H,5%,9454.4,179633.6,Commission Expense
Referral commission paid,319796,Individual,194H,5%,15989.8,303806.2,Commission Expense
Professional consultancy charges,407465,Firm,194J,10%,40746.5,366718.5,Professional Fees
Finance charges paid,367716,Professional,194A,10%,36771.6,330944.4,Interest Expense
Property rent paid,219354,Firm,194I,10%,21935.4,197418.6,Rent Expense
Referral commission paid,235761,Firm,194H,5%,11788.05,223972.95,Commission Expense
Warehouse rent paid,372145,Individual,194I,10%,37214.5,334930.5,Rent Expense
Goods purchased from vendor,210618,Individual,194Q,0.1%,210.62,210407.38,Purchase Expense
Doctor consultation fees paid,493792,Firm,194J,10%,49379.2,444412.8,Professional Fees
Doctor consultation fees paid,250995,Company,194J,10%,25099.5,225895.5,Professional Fees
Contractor payment made,482290,Contractor,194C,1%,4822.9,477467.1,Contractor Expense
Vendor supply payment,374345,Firm,194Q,0.1%,374.35,373970.65,Purchase Expense
Shop rent transferred,207005,Professional,194I,10%,20700.5,186304.5,Rent Expense
Brokerage charges paid,53798,Contractor,194H,5%,2689.9,51108.1,Commission Expense
Interest on unsecured loan,77973,Professional,194A,10%,7797.3,70175.7,Interest Expense
Legal consultancy fees paid,398551,Contractor,194J,10%,39855.1,358695.9,Professional Fees
Professional consultancy charges,180914,Firm,194J,10%,18091.4,162822.6,Professional Fees
Interest on unsecured loan,318223,Contractor,194A,10%,31822.3,286400.7,Interest Expense
Goods purchased from vendor,48490,Company,194Q,0.1%,48.49,48441.51,Purchase Expense
Vendor supply payment,63744,Firm,194Q,0.1%,63.74,63680.26,Purchase Expense
Referral commission paid,60723,Company,194H,5%,3036.15,57686.85,Commission Expense
Transport charges paid,332512,Firm,194C,1%,3325.12,329186.88,Contractor Expense
Freight charges paid,326199,Contractor,194C,1%,3261.99,322937.01,Contractor Expense
Shop rent transferred,92698,Professional,194I,10%,9269.8,83428.2,Rent Expense
Construction work payment,237444,Firm,194C,1%,2374.44,235069.56,Contractor Expense
Bank interest paid,475278,Firm,194A,10%,47527.8,427750.2,Interest Expense
Shop rent transferred,258265,Contractor,194I,10%,25826.5,232438.5,Rent Expense
Professional consultancy charges,184296,Firm,194J,10%,18429.6,165866.4,Professional Fees
Bank interest paid,283676,Firm,194A,10%,28367.6,255308.4,Interest Expense
Purchase of stock items,124055,Professional,194Q,0.1%,124.06,123930.94,Purchase Expense
Purchase of stock items,424876,Professional,194Q,0.1%,424.88,424451.12,Purchase Expense
Sales commission payment,91001,Company,194H,5%,4550.05,86450.95,Commission Expense
Bulk inventory purchase,391728,Individual,194Q,0.1%,391.73,391336.27,Purchase Expense
Construction work payment,334755,Firm,194C,1%,3347.55,331407.45,Contractor Expense
Warehouse rent paid,65769,Firm,194I,10%,6576.9,59192.1,Rent Expense
Agent incentive paid,88945,Contractor,194H,5%,4447.25,84497.75,Commission Expense
Finance charges paid,338204,Contractor,194A,10%,33820.4,304383.6,Interest Expense
Doctor consultation fees paid,45392,Professional,194J,10%,4539.2,40852.8,Professional Fees
Office rent paid,303956,Professional,194I,10%,30395.6,273560.4,Rent Expense
Bulk inventory purchase,61217,Contractor,194Q,0.1%,61.22,61155.78,Purchase Expense
Sales commission payment,401715,Professional,194H,5%,20085.75,381629.25,Commission Expense
Property rent paid,37872,Company,194I,10%,3787.2,34084.8,Rent Expense
Labour charges paid,112378,Individual,194C,1%,1123.78,111254.22,Contractor Expense
Property rent paid,74713,Firm,194I,10%,7471.3,67241.7,Rent Expense
Agent incentive paid,22199,Firm,194H,5%,1109.95,21089.05,Commission Expense
Commission paid to agent,341792,Contractor,194H,5%,17089.6,324702.4,Commission Expense
Interest paid on loan,473057,Firm,194A,10%,47305.7,425751.3,Interest Expense
Bulk inventory purchase,382624,Firm,194Q,0.1%,382.62,382241.38,Purchase Expense
Contractor payment made,226239,Individual,194C,1%,2262.39,223976.61,Contractor Expense
Sales commission payment,183940,Individual,194H,5%,9197.0,174743.0,Commission Expense
Interest on unsecured loan,336404,Contractor,194A,10%,33640.4,302763.6,Interest Expense
Finance charges paid,104680,Individual,194A,10%,10468.0,94212.0,Interest Expense
Interest on unsecured loan,27972,Firm,194A,10%,2797.2,25174.8,Interest Expense
Bulk inventory purchase,188256,Professional,194Q,0.1%,188.26,188067.74,Purchase Expense
Referral commission paid,179572,Firm,194H,5%,8978.6,170593.4,Commission Expense
Labour charges paid,249021,Contractor,194C,1%,2490.21,246530.79,Contractor Expense
Freight charges paid,179627,Individual,194C,1%,1796.27,177830.73,Contractor Expense
Transport charges paid,187941,Professional,194C,1%,1879.41,186061.59,Contractor Expense
Interest paid on loan,485400,Firm,194A,10%,48540.0,436860.0,Interest Expense
Interest payment booked,405316,Company,194A,10%,40531.6,364784.4,Interest Expense
Audit fees paid,193605,Individual,194J,10%,19360.5,174244.5,Professional Fees
Doctor consultation fees paid,273993,Individual,194J,10%,27399.3,246593.7,Professional Fees
Freight charges paid,158604,Company,194C,1%,1586.04,157017.96,Contractor Expense
Bank interest paid,98499,Firm,194A,10%,9849.9,88649.1,Interest Expense
Sales commission payment,447771,Professional,194H,5%,22388.55,425382.45,Commission Expense
Building lease payment,42014,Company,194I,10%,4201.4,37812.6,Rent Expense
Interest payment booked,131947,Professional,194A,10%,13194.7,118752.3,Interest Expense
Transport charges paid,215171,Contractor,194C,1%,2151.71,213019.29,Contractor Expense
Referral commission paid,142011,Contractor,194H,5%,7100.55,134910.45,Commission Expense
Bulk inventory purchase,430913,Contractor,194Q,0.1%,430.91,430482.09,Purchase Expense
Transport charges paid,368573,Professional,194C,1%,3685.73,364887.27,Contractor Expense
Bulk inventory purchase,14345,Professional,194Q,0.1%,14.35,14330.65,Purchase Expense
Interest on unsecured loan,33376,Professional,194A,10%,3337.6,30038.4,Interest Expense
Referral commission paid,480922,Individual,194H,5%,24046.1,456875.9,Commission Expense
Doctor consultation fees paid,350577,Contractor,194J,10%,35057.7,315519.3,Professional Fees
Bulk inventory purchase,140056,Firm,194Q,0.1%,140.06,139915.94,Purchase Expense
Labour charges paid,92280,Individual,194C,1%,922.8,91357.2,Contractor Expense
Agent incentive paid,257957,Company,194H,5%,12897.85,245059.15,Commission Expense
Audit fees paid,64143,Company,194J,10%,6414.3,57728.7,Professional Fees
Labour charges paid,482955,Firm,194C,1%,4829.55,478125.45,Contractor Expense
Construction work payment,132091,Individual,194C,1%,1320.91,130770.09,Contractor Expense
Warehouse rent paid,256793,Individual,194I,10%,25679.3,231113.7,Rent Expense
Interest payment booked,454760,Firm,194A,10%,45476.0,409284.0,Interest Expense
Brokerage charges paid,103033,Firm,194H,5%,5151.65,97881.35,Commission Expense
Contractor payment made,348392,Contractor,194C,1%,3483.92,344908.08,Contractor Expense
Bank interest paid,245655,Company,194A,10%,24565.5,221089.5,Interest Expense
Finance charges paid,42917,Professional,194A,10%,4291.7,38625.3,Interest Expense
Audit fees paid,408727,Professional,194J,10%,40872.7,367854.3,Professional Fees
Interest on unsecured loan,208710,Individual,194A,10%,20871.0,187839.0,Interest Expense
Bulk inventory purchase,61612,Individual,194Q,0.1%,61.61,61550.39,Purchase Expense
Contractor payment made,395860,Contractor,194C,1%,3958.6,391901.4,Contractor Expense
Goods purchased from vendor,170817,Firm,194Q,0.1%,170.82,170646.18,Purchase Expense
Commission paid to agent,71118,Professional,194H,5%,3555.9,67562.1,Commission Expense
Doctor consultation fees paid,43098,Firm,194J,10%,4309.8,38788.2,Professional Fees
Brokerage charges paid,186315,Individual,194H,5%,9315.75,176999.25,Commission Expense
Purchase of stock items,370472,Individual,194Q,0.1%,370.47,370101.53,Purchase Expense
Construction work payment,359746,Professional,194C,1%,3597.46,356148.54,Contractor Expense
Sales commission payment,388568,Company,194H,5%,19428.4,369139.6,Commission Expense
Doctor consultation fees paid,442142,Company,194J,10%,44214.2,397927.8,Professional Fees
Interest payment booked,181900,Individual,194A,10%,18190.0,163710.0,Interest Expense
Doctor consultation fees paid,350039,Individual,194J,10%,35003.9,315035.1,Professional Fees
Property rent paid,135198,Firm,194I,10%,13519.8,121678.2,Rent Expense
Interest on unsecured loan,194964,Company,194A,10%,19496.4,175467.6,Interest Expense
Interest on unsecured loan,136878,Professional,194A,10%,13687.8,123190.2,Interest Expense
Bulk inventory purchase,182359,Firm,194Q,0.1%,182.36,182176.64,Purchase Expense
Interest paid on loan,36416,Company,194A,10%,3641.6,32774.4,Interest Expense
Audit fees paid,97073,Company,194J,10%,9707.3,87365.7,Professional Fees
Interest payment booked,177866,Firm,194A,10%,17786.6,160079.4,Interest Expense
Interest paid on loan,378659,Professional,194A,10%,37865.9,340793.1,Interest Expense
Audit fees paid,236738,Professional,194J,10%,23673.8,213064.2,Professional Fees
Interest payment booked,174209,Professional,194A,10%,17420.9,156788.1,Interest Expense
Construction work payment,399249,Company,194C,1%,3992.49,395256.51,Contractor Expense
Brokerage charges paid,48842,Company,194H,5%,2442.1,46399.9,Commission Expense
Labour charges paid,287990,Contractor,194C,1%,2879.9,285110.1,Contractor Expense
Bank interest paid,66072,Contractor,194A,10%,6607.2,59464.8,Interest Expense
Raw material purchase made,480228,Contractor,194Q,0.1%,480.23,479747.77,Purchase Expense
Building lease payment,126009,Individual,194I,10%,12600.9,113408.1,Rent Expense
Agent incentive paid,241101,Individual,194H,5%,12055.05,229045.95,Commission Expense
Interest payment booked,397160,Firm,194A,10%,39716.0,357444.0,Interest Expense
Finance charges paid,445505,Individual,194A,10%,44550.5,400954.5,Interest Expense
CA fees paid,287375,Firm,194J,10%,28737.5,258637.5,Professional Fees
Finance charges paid,204373,Contractor,194A,10%,20437.3,183935.7,Interest Expense
Building lease payment,242300,Contractor,194I,10%,24230.0,218070.0,Rent Expense
Bank interest paid,430081,Firm,194A,10%,43008.1,387072.9,Interest Expense
CA fees paid,291330,Contractor,194J,10%,29133.0,262197.0,Professional Fees
Agent incentive paid,252400,Company,194H,5%,12620.0,239780.0,Commission Expense
Purchase of stock items,379097,Contractor,194Q,0.1%,379.1,378717.9,Purchase Expense
Legal consultancy fees paid,52636,Individual,194J,10%,5263.6,47372.4,Professional Fees
Contractor payment made,115902,Firm,194C,1%,1159.02,114742.98,Contractor Expense
Legal consultancy fees paid,123111,Firm,194J,10%,12311.1,110799.9,Professional Fees
Raw material purchase made,244744,Firm,194Q,0.1%,244.74,244499.26,Purchase Expense
Shop rent transferred,362286,Individual,194I,10%,36228.6,326057.4,Rent Expense
Referral commission paid,239625,Individual,194H,5%,11981.25,227643.75,Commission Expense
Warehouse rent paid,405252,Contractor,194I,10%,40525.2,364726.8,Rent Expense
CA fees paid,12056,Company,194J,10%,1205.6,10850.4,Professional Fees
Vendor supply payment,265845,Firm,194Q,0.1%,265.85,265579.15,Purchase Expense
Commission paid to agent,86501,Professional,194H,5%,4325.05,82175.95,Commission Expense
Finance charges paid,118615,Firm,194A,10%,11861.5,106753.5,Interest Expense
Sales commission payment,295983,Company,194H,5%,14799.15,281183.85,Commission Expense
Transport charges paid,338757,Firm,194C,1%,3387.57,335369.43,Contractor Expense
Audit fees paid,383646,Contractor,194J,10%,38364.6,345281.4,Professional Fees
Referral commission paid,363954,Firm,194H,5%,18197.7,345756.3,Commission Expense
Doctor consultation fees paid,69349,Professional,194J,10%,6934.9,62414.1,Professional Fees
Commission paid to agent,21822,Company,194H,5%,1091.1,20730.9,Commission Expense
Professional consultancy charges,335581,Professional,194J,10%,33558.1,302022.9,Professional Fees
